name,link
China Identifies New Virus Causing Pneumonialike Illness,https://www.nytimes.com/2020/01/08/health/china-pneumonia-outbreak-virus.html?searchResultPosition=1
China Reports First Death From New Virus,https://www.nytimes.com/2020/01/10/world/asia/china-virus-wuhan-death.html?searchResultPosition=2
Japan and Thailand Confirm New Cases of Chinese Coronavirus,https://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html?searchResultPosition=3
Three U.S. Airports to Check Passengers for a Deadly Chinese Coronavirus,https://www.nytimes.com/2020/01/17/health/china-coronavirus-airport-screening.html?searchResultPosition=4
Deadly Mystery Virus Reported in 2 New Chinese Cities and South Korea,https://www.nytimes.com/2020/01/18/world/asia/china-virus-wuhan-coronavirus.html?searchResultPosition=5
China Confirms New Coronavirus Spreads From Humans to Humans,https://www.nytimes.com/2020/01/20/world/asia/coronavirus-china-symptoms.html?searchResultPosition=6
The Test a Deadly Coronavirus Outbreak Poses to China’s Leadership,https://www.nytimes.com/2020/01/21/world/asia/china-coronavirus-wuhan.html?searchResultPosition=7
First Patient With Wuhan Coronavirus Is Identified in the U.S.,https://www.nytimes.com/2020/01/21/health/cdc-coronavirus.html?searchResultPosition=8
The Coronavirus: What Scientists Have Learned So Far,https://www.nytimes.com/article/what-is-coronavirus.html?searchResultPosition=9
"Wuhan, Center of Coronavirus Outbreak, Is Being Cut Off by Chinese Authorities",https://www.nytimes.com/2020/01/22/world/asia/china-coronavirus-travel.html?searchResultPosition=10
"As New Virus Spreads From China, Scientists See Grim Reminders",https://www.nytimes.com/2020/01/22/health/china-virus.html?searchResultPosition=11
China Silences Critics Over Deadly Virus Outbreak,https://www.nytimes.com/2020/01/22/health/virus-corona.html?searchResultPosition=12
A Scramble to Retrace the Steps of the First Wuhan Coronavirus Case in the U.S.,https://www.nytimes.com/2020/01/22/us/coronavirus-seattle-washington.html?searchResultPosition=13
Scale of China’s Wuhan Shutdown Is Believed to Be Without Precedent,https://www.nytimes.com/2020/01/22/world/asia/coronavirus-quarantines-history.html?searchResultPosition=14
"Coronavirus Death Toll Climbs in China, and a Lockdown Widens",https://www.nytimes.com/2020/01/23/world/asia/china-coronavirus.html?searchResultPosition=15
"Wuhan Beyond the Coronavirus: Steel, Cars and Spicy Noodles",https://www.nytimes.com/2020/01/23/world/asia/wuhan-coronavirus.html?searchResultPosition=16
"Coronavirus Deaths Are So Far Mostly Older Men, Many With Previous Health Issues",https://www.nytimes.com/2020/01/23/world/asia/coronavirus-victims-wuhan.html?searchResultPosition=17
"China’s Battle With a Deadly Coronavirus, in Photos",https://www.nytimes.com/2020/01/25/world/asia/china-coronavirus-photos.html?searchResultPosition=18
Fears Over New Coronavirus Grip Davos,https://www.nytimes.com/2020/01/23/business/dealbook/coronavirus-davos-world-economic-forum.html?searchResultPosition=19
How China’s Virus Outbreak Could Threaten the Global Economy,https://www.nytimes.com/2020/01/23/world/asia/wuhan-coronavirus-china-economy.html?searchResultPosition=20
"As New Virus Spreads From China, Scientists See Grim Reminders",https://www.nytimes.com/2020/01/22/health/china-virus.html?searchResultPosition=21
China Silences Critics Over Deadly Virus Outbreak,https://www.nytimes.com/2020/01/22/health/virus-corona.html?searchResultPosition=22
A Scramble to Retrace the Steps of the First Wuhan Coronavirus Case in the U.S.,https://www.nytimes.com/2020/01/22/us/coronavirus-seattle-washington.html?searchResultPosition=23
Scale of China’s Wuhan Shutdown Is Believed to Be Without Precedent,https://www.nytimes.com/2020/01/22/world/asia/coronavirus-quarantines-history.html?searchResultPosition=24
"Coronavirus Death Toll Climbs in China, and a Lockdown Widens",https://www.nytimes.com/2020/01/23/world/asia/china-coronavirus.html?searchResultPosition=25
"Wuhan Beyond the Coronavirus: Steel, Cars and Spicy Noodles",https://www.nytimes.com/2020/01/23/world/asia/wuhan-coronavirus.html?searchResultPosition=26
"Coronavirus Deaths Are So Far Mostly Older Men, Many With Previous Health Issues",https://www.nytimes.com/2020/01/23/world/asia/coronavirus-victims-wuhan.html?searchResultPosition=27
"China’s Battle With a Deadly Coronavirus, in Photos",https://www.nytimes.com/2020/01/25/world/asia/china-coronavirus-photos.html?searchResultPosition=28
Fears Over New Coronavirus Grip Davos,https://www.nytimes.com/2020/01/23/business/dealbook/coronavirus-davos-world-economic-forum.html?searchResultPosition=29
How China’s Virus Outbreak Could Threaten the Global Economy,https://www.nytimes.com/2020/01/23/world/asia/wuhan-coronavirus-china-economy.html?searchResultPosition=30
"As New Virus Spreads From China, Scientists See Grim Reminders",https://www.nytimes.com/2020/01/22/health/china-virus.html?searchResultPosition=31
China Silences Critics Over Deadly Virus Outbreak,https://www.nytimes.com/2020/01/22/health/virus-corona.html?searchResultPosition=32
A Scramble to Retrace the Steps of the First Wuhan Coronavirus Case in the U.S.,https://www.nytimes.com/2020/01/22/us/coronavirus-seattle-washington.html?searchResultPosition=33
Scale of China’s Wuhan Shutdown Is Believed to Be Without Precedent,https://www.nytimes.com/2020/01/22/world/asia/coronavirus-quarantines-history.html?searchResultPosition=34
