article,label,title
"
						© 2020 National Review					
						Newsletters					
					© 2020 National Review				Get our conservative analysis delivered right to you. No charge. …The Chinese government’s recent quarantine of 60 million people — roughly the size of Italy — is unprecedented. At the last count, China’s death toll from COVID-19 — also known as In 2019, China “celebrated” 70 years of Communist Party rule. China’s economic growth was at the lowest it’s been in three decades. And it faced the added political challenge of the Hong Kong protests, as well as the economic strain of an escalating trade war with the United States. Nevertheless, 2020 brought a more urgent challenge.<span class=""drop"">
<span id=""nrplus-badge-left"">
<span class=""nrplus-badge-rule""></span>
<span class=""nrplus-badge-inner"">NRPLUS MEMBER ARTICLE</span>
</span>
<span class=""drop"">C</span>
</span>




National ReviewFollow Us",0,The Chinese Communist Party Struggles to Contain the Coronavirus Fallout
"
						© 2020 National Review					
						Newsletters					
					© 2020 National Review				Get breaking news, with NR's unfiltered reporting, delivered straight to your inbox<span>NOW WATCH: </span><a href=""https://www.nationalreview.com/tips/""><em>Send a tip to the news team at </em>NR.</a>President Trump announced Wednesday evening in a press conference that Vice President Mike Pence would be leading the U.S. efforts to halt the spread of the virus, after officials Tuesday warned that an outbreak The CDC did end up testing the patient on Sunday, February 23 — after which “the patient was put on airborne precautions and strict contact precautions, because of our concerns about the patient’s condition.” The positive test result was returned Wednesday.“We requested COVID-19 testing by the CDC, since neither Sacramento County nor the California Department of Public Health is doing testing for coronavirus at this time,” the We’ll deliver The Capital Note to your inbox each weekday. No charge.A weekly digest on business and economics from an NR sensibility.Get Kevin D. Williamson’s newsletter delivered to your inbox each Tuesday.Get Jim Geraghty’s tour of the political news of the day.NR Daily is delivered right to you every afternoon. No charge.The patient, who is the 15th confirmed domestic case in the U.S., was transferred to Davis from another Northern California hospital last week. According to a statement from UC Davis health officials, the patient had already been intubated, was on a ventilator and was “given droplet protection orders because of an undiagnosed and suspected viral condition” when transferred. They added that they had requested testing for coronavirus “upon admission,” but were initially denied.“At this time, the patient’s exposure is unknown,” the CDC said in a statement. “It’s possible this could be an instance of community spread of COVID-19, which would be the first time this has happened in the United States.”The Center for Disease Control confirmed the existence of a coronavirus case in California with “unknown” origins on Wednesday evening, with UC Davis Medical Center revealing that they had requested a test last week, but had been denied by the CDC because “the patient did not fit the existing CDC criteria.”National ReviewFollow Us",0,CDC Refused to Test First Possible Community-Transmitted Coronavirus Case for Days
"
						© 2020 National Review					
						Newsletters					
					© 2020 National Review				Get our conservative analysis delivered right to you. No charge.<span>NOW WATCH: </span><strong>ADDENDUM</strong>But up until recently, a lot of our media voices were doing the opposite of fearmongering. For a few weeks, the dominant tone of the coverage was, “<a href=""https://www.nytimes.com/2020/02/25/opinion/coronavirus-cases-spread.html"" rel=""noopener noreferrer"" target=""_blank"">Ross Douthat picked up on something I couldn’t quite articulate as well as he did.</a><strong>Why We Can’t See a Problem Like the Coronavirus Clearly</strong>No matter how much we may detest the Iranian government, this situation still means suffering for innocent Iranian people. This is an erratic, paranoid, fundamentalist regime that is eager to find scapegoats. It is not difficult to envision scenarios where things go very wrong very quickly in Iran.An anesthesiologist at one of Tehran’s top private hospitals, who also requested anonymity for fear of retribution, said she believed officials are victims of their own inaction in tackling the disease. “The reason these government officials are contracting the virus is because, they always want to hide the truth; so they don’t use any protective measures when going from this hospital to another just so they project this image that there’s nothing serious going on. It’s only natural that they have been exposed to the virus.” Speaking in a telephone interview, she claimed government officials held back information out of fear of low voter turn out in last week’s parliamentary election.Since it first announced the presence of “We think that this virus has been in Iran for the past three to four weeks and has circulated throughout the country. Right now in Iran we are facing a coronavirus epidemic,” said a senior medical doctor at the Masih Daneshvari hospital in Tehran, the country’s top pulmonary public hospital and the main facility overseeing coronavirus patients.<a href=""https://time.com/5791516/iran-doctors-coronavirus-middle-east/"" rel=""noopener noreferrer"" target=""_blank"">If you thought Iran had problems before, take a look at the situation now:</a>Beyond all of that, the United States and most Western countries are probably reasonably well prepared for this. Poorer and less developed countries probably won’t be well prepared. Any regime that has a history of being less than fully honest about the country’s problems is in for some serious trouble ahead.Besides the severe economic consequences, I don’t think anyone really knows how the Chinese people would respond to a public-health crisis and disaster on this scale.<a href=""https://www.nationalreview.com/corner/what-happens-when-a-nation-of-elderly-smokers-faces-a-viral-respiratory-illness/"" rel=""noopener noreferrer"" target=""_blank"">As I was discussing earlier</a>The quarantine of Wuhan <a href=""https://www.militarytimes.com/flashpoints/2020/02/25/us-and-south-korean-may-scale-back-joint-military-exercises-over-coronavirus-fears/"" rel=""noopener noreferrer"" target=""_blank"">Joint military exercises with South Korea</a><a href=""https://www.nytimes.com/2020/02/24/world/europe/24coronavirus-milan-italy.html"" rel=""noopener noreferrer"" target=""_blank"">Milan, Italy, is not completely shut down</a>Saudi Arabia Hong Kong is The Japanese also reported that a woman who had the virus and appeared to recover had “Efforts have been made to prevent the spread of infection among children in each region, and these one or two weeks will be an extremely critical period,” Abe told a meeting of key Cabinet ministers on the coronavirus outbreak crisis.Prime Minister Shinzo Abe on Thursday asked all elementary, junior high and high schools nationwide to close from Monday through the students’ spring break, which typically ends in early April.<a href=""https://www.japantimes.co.jp/news/2020/02/27/national/hokkaido-coronavirus-school/#.XleslhNKjLY"" rel=""noopener noreferrer"" target=""_blank"">The government of Japan just closed all the public schools in the country for a month:</a>We’ll deliver The Capital Note to your inbox each weekday. No charge.A weekly digest on business and economics from an NR sensibility.Get Kevin D. Williamson’s newsletter delivered to your inbox each Tuesday.Get Jim Geraghty’s tour of the political news of the day.NR Daily is delivered right to you every afternoon. No charge.Even if the United States is about as prepared as any country can be for a severe viral outbreak, a lot of other countries are not. And even the most technologically advanced, economically prosperous, and well-run countries are going to find this a serious challenge.<strong>Reasons You Should Be at Least a Little Bit Worried about Coronavirus</strong>If you’re a nonsmoker who is in good health and takes basic preventative steps such as washing your hands, you’re probably going to be fine . . . at least, based upon what we know so far.As noted earlier, the Chinese numbers may be significantly affected by smoking rates in that country. Roughly half of all Chinese men smoke, while very few Chinese women smoke.Some of those numbers sound scary, but keep in mind, this means that if you’re 80 years old and catch it, you’ve still got an 85 percent chance of surviving.The latest China-based study, which was not peer-reviewed by U.S. scientists, found that men had a fatality rate of 2.8% versus 1.7% for women.No deaths were reported among mild and severe cases. The fatality rate was 49% among critical cases, and elevated among those with preexisting conditions: 10.5% for people with cardiovascular disease, 7.3% for diabetes, 6.3% for chronic respiratory disease, 6% for hypertension, and 5.6% for cancer.The sample’s overall case-fatality rate was 2.3%, Much like other viruses, “We’re already acting as if it’s here,” said Dr. Michael Phillips, chief epidemiologist at the NYU Langone Health System in New York City, which has yet to see a confirmed case. “We’re already thinking about what we should be doing, how we make sure our health care workers are safe. Are we messaging them enough, but not over-messaging them?”That scenario is something that hospitals across the country have been rehearsing for weeks as cases of the new coronavirus, which causes a disease called COVID-19, rise around the world. And while not every U.S. hospital will get notice that a possible coronavirus case is coming through its doors, many say they have been bracing in other ways: They are holding daily briefings with state and local health departments, stocking up on personal protective equipment for health care workers and working with engineers to control air flow in their hospitals to make sure they are best positioned to stop the virus from spreading.“For the whole country, this is not our first rodeo with new germs,”  Dr. Amy Compton-Phillips, executive vice president and chief clinical officer of Providence St. Joseph Health, said. “Ebola was our wake-up call that we needed to be ready for the next pandemic. So we, as well as other hospitals, put in place the ‘just-in-case’ scenario planning.”What’s more, the outbreaks of the past years — swine flu, H1N1 flu, SARS, MERS, and Ebola — All across the United States, since 9/11, hospitals and first responders have been training and running drills to deal with <a href=""https://apnews.com/d36d6c4de29f4d04beda3db00cb46104"" rel=""noopener noreferrer"" target=""_blank"">The Associated Press fact-checkers point out</a><strong>Reasons You Should Not Be Too Worried about the Coronavirus in the United States</strong>Today’s Morning Jolt is all about the coronavirus. A fact that doesn’t help anyone score any partisan points, and thus will be largely ignored, disregarded, or forgotten: The U.S. Centers for Disease Control, the Department of Health and Human Services, and the broader Trump administration could make all the right choices regarding how to handle the coronavirus, National ReviewFollow Us",0,Coronavirus Chronicles
"
						© 2020 National Review					
						Newsletters					
					© 2020 National Review				Get breaking news, with NR's unfiltered reporting, delivered straight to your inbox<span>NOW WATCH: </span><a href=""https://www.nationalreview.com/tips/""><em>Send a tip to the news team at </em>NR.</a>The U.S. stock market plummeted this week along with markets worldwide on Monday morning as fears of the spreading coronavirus rattled investors.Symptoms of the virus, which has taken its largest toll on the elderly, have ranged from mild to severe.“At this time, the patient’s exposure is unknown,” read a statement from the CDC. “It’s possible this could be an instance of community spread of COVID-19, which would be the first time this has happened in the United States.”The coronavirus, a respiratory illness which originated in China, has killed nearly 3,000 people globally and infected nearly 81,000. The U.S. has identified 60 cases within the country, all but one of whom caught the infection from traveling abroad or having contact with someone who did. On Wednesday, the Centers for Disease Control and Prevention Earlier in the day, Senate minority leader Chuck Schumer on Wednesday requested $8.5 billion in emergency funding to combat the coronavirus, more than three times the $2.5 billion the White House has requested.President Trump announced Wednesday that Pence will be in charge of the administration’s coronavirus response.“She has deep experience in coordinating across agencies,” the White House said in a statement. “She has worked from the research bench to the clinic, but understands the primary focus must always be to reach the individuals most in need.”Birx, a career public health official, is currently in charge of the U.S. effort to battle AIDS across the globe and is responsible for the $6 billion the U.S. has earmarked for HIV and AIDS treatment and prevention programs in 65 countries. She was nominated to that position by former President Barack Obama in 2014 and also serves as U.S. Special Representative for Global Health Diplomacy.Ambassador Debbie Birx will serve as “White House Coronavirus Response Coordinator” and report to Pence as well as join the task force formed to combat the epidemic under Health and Human Services Secretary Alex Azar.Vice President Mike Pence has appointed the administration’s top AIDS official as head coordinator in tackling the coronavirus in the U.S., the White House said Thursday.National ReviewFollow Us",0,Pence Announces White House Coordinator for Coronavirus Response
"
						© 2020 National Review					
						Newsletters					
					© 2020 National Review				Get breaking news, with NR's unfiltered reporting, delivered straight to your inbox<a href=""https://www.nationalreview.com/tips/""><em>Send a tip to the news team at </em>NR.</a>“At this time, the patient’s exposure is unknown,” the CDC said in a The CDC on Wednesday confirmed a coronavirus case in central California with unknown origins, days after the agency initially refused to test the patient because they “did not fit the existing CDC criteria.”The announcement came after other locales in the U.S. have announced similar monitoring efforts, though none as extensive as in California. 608 people were being We’ll deliver The Capital Note to your inbox each weekday. No charge.A weekly digest on business and economics from an NR sensibility.Get Kevin D. Williamson’s newsletter delivered to your inbox each Tuesday.Get Jim Geraghty’s tour of the political news of the day.NR Daily is delivered right to you every afternoon. No charge.“We’re not just preparing — we’ve been actively participating in addressing this issue for many months, aggressively,” Newsom “We knew this was inevitable,” Newsom said at a press conference. State officials remain in “constant contact with federal agencies,” the governor stressed, adding that the state’s top priority was obtaining more testing kits since current supplies are “inadequate.”33 individuals have already tested positive for the virus, five of whom have been moved out of the state.California is monitoring 8,400 people who arrived in the state on domestic commercial flights for the Wuhan coronavirus, Governor Gavin Newsom announced on Thursday.National ReviewFollow Us",0,"California Monitoring 8,400 People for Coronavirus, 33 Have Tested Positive"
"
						© 2020 National Review					
						Newsletters					
					© 2020 National Review				Get our conservative analysis delivered right to you. No charge.China Daily via ReutersA medical worker in a protective suit inspects a CT scan image in a ward at the Wuhan Red Cross Hospital in Wuhan, Hubei Province, China, the center of the novel coronavirus outbreak, February 24, 2020. Advertisement<em><a href=""https://freebeacon.com/columns/the-first-postmodern-pandemic/"" rel=""noopener noreferrer"" target=""_blank"">This piece originally appeared on the Washington Free Beacon</a></em>Knowledge of the physical universe has grown exponentially since 1918. So have the means by which we are able to express discontent, fear, blame, and unreason. Which is why I do have one prediction about the weeks ahead: Our politics will remain nasty, polarized, overheated, and dispiriting. Even as Mother Nature reminds us who’s really in charge.This isn’t a serious response. It’s a tantrum. There are plenty of additional things the Trump administration could do to prepare for an outbreak. My American Enterprise Institute colleague, former FDA commissioner Scott Gottlieb, M.D., has several recommendations, including allowing for more testing. What the media and Democrats offer instead are dispatches from Resistance Land — that magical place where the border is open, Medicare is for all, the New Deal is Green, and coronavirus isn’t the problem, Donald Trump is.The Democrats criticize Trump for budget cuts that never happened. Chuck Schumer plots a campaign to bash the president for a paltry supplemental request, only to have Trump say Congress can appropriate whatever it wants. Elizabeth Warren introduces a bill to “transfer all funding for @realDonaldTrump’s racist border wall” to coronavirus defense. Has she seen her doctor lately?Financial journalists who see bears around every corner now point to coronavirus as the irrepressible agent of recession. A columnist for the We were better off when the media focused on impeachment. Now that it is interested in coronavirus, a familiar pattern will set in. Data will be publicized without the slightest sense of proportion. The most outrageous scenarios will receive the most attention. Speculation will be paraded as fact. And every conceivable negative outcome, from infections to deaths to plunging stock values, from reasonable and warranted travel bans to unanticipated diplomatic and economic fallout, will be related back to the president in an effort to damage his reelection.The global economy is far more integrated than in the past. And a worldwide broadcast, digital, and social media exist that would have been fanciful to President Wilson. This system distributes misinformation, incentivizes hysteria and partisanship, and expects immaculate performance from the government while ignoring, dismissing, and excusing its own failures. Dealing with “community spread” is hard enough. Try doing it while watching Don Lemon.
This is different from the Spanish Flu. Science, medicine, and public health have improved immeasurably. But that is not the only difference. COVID-19 is novel. No one saw it before last December. No one is sure where it came from. And it has spread quickly. Despite record advances in gene sequencing and drug testing, it will be more than a year before a vaccine can be mass-produced.Perhaps they won’t be. The malpractice of the Chinese Communists may be responsible for the high fatality rate there. The rate outside its borders, according to the World Health Organization, is lower. And America inhabits a different public-health universe than a century ago. Flu vaccines and therapeutics did not exist. Hospitals, the sciences of virology and epidemiology, and medical technology were primitive. Authorities relied on quarantines and appeals for good hygiene. Results were mixed. And disappointing.It has the makings of a phenomenon not seen in a century. The Spanish Flu of 1918 infected an estimated one-third of the global population. It had a case fatality rate greater than 2.5 percent — slightly higher than the rate for coronavirus observed in China so far. More than 600,000 people died in the United States of “La Grippe.” No one wants to see these numbers repeated.Comparisons are tough. After all, the situation is unprecedented. The political consequences of COVID-19 are difficult to predict because of the interplay between a public-health emergency and a fractured public narrative. Coronavirus is the first postmodern pandemic.<span class=""drop"">T</span>




National ReviewFollow Us",0,The First Postmodern Pandemic
"
						© 2020 National Review					
						Newsletters					
					© 2020 National Review				Get our conservative analysis delivered right to you. No charge.<strong>ADDENDUM</strong>Way back in 2009, when the Obama administration was naming policy “czars” left and right, That being said, I would not have minded seeing the president appoint a separate coronavirus “czar” — some sort of temporarily appointed special advisor to the president on COVID-19.Much like Vladimir Putin’s Russia, the coronavirus became much scarier and more newsworthy to U.S. mainstream media once Donald Trump became involved.The gist is that because the Headline at the Headline at the <strong>The <em>Daily Beast</em>: Oh, Hey, <em>Now</em> the Coronavirus Is Generating ‘Mayhem’</strong>Earlier this week, A few months ago, Brooks — former He believes in revolutionary mass mobilization and, once an election has been won, rule by majoritarian domination. This is how populists of left and right are ruling all over the world, and it is exactly what our founders feared most and tried hard to prevent.Populists like Sanders speak as if the whole system is irredeemably corrupt. Sanders was a useless House member and has been a marginal senator because he doesn’t operate within this system or believe in this theory of change.David Brooks is desperately trying to warn <strong>Brooks: Bernie Sanders Is What the Founding Fathers Feared</strong>The road ahead doesn’t look any better. No poll puts her above 15 percent in South Carolina, which was never going to be a particularly good state for her. The poll mentioned above suggests Sander might beat her in her home state, which would more or less spell the end of her campaign. If any Warren fans are hoping some overperformance in other Super Tuesday states might balance it all out . . . she might be a distant second in California, and she might get delegates in Virginia and Colorado. But you can’t second-place and third-place your way to the nomination. If Warren can’t win Massachusetts, where is she going to win?For someone who was supposed to be a really savvy politician, Warren is generating underwhelming results. Warren did okay in Iowa, getting eight delegates and about 20 percent of the final vote — the kind of finish that doesn’t generate a lot of momentum, but keeps a candidate in the game. But she struck out in New Hampshire, which is supposed to be friendly territory for a Massachusetts senator. Her 9.2 percent put her in fourth place, and perhaps even worse, she was ten percentage points behind Amy Klobuchar. She won no delegates in Nevada and finished fourth again with 11.5 percent.Keep in mind, Warren’s rise and fall occurred with the rest of the field Since then, Warren has attacked everyone except Sanders, leading many, including myself, When Sanders supporters proved tougher to win over than Warren expected, she tried playing the “sexist” card on him, and that didn’t work well at all. Her campaign seemed to be based upon the idea that a lot of Bernie Sanders’s supporters could be persuaded to jump on her bandwagon. The two senators are progressive allies, but each one took a different path to get to where they are, and you wonder if Sanders supporters have nagging doubts about the former Republican Harvard law professor We’ll deliver The Capital Note to your inbox each weekday. No charge.A weekly digest on business and economics from an NR sensibility.Get Kevin D. Williamson’s newsletter delivered to your inbox each Tuesday.Get Jim Geraghty’s tour of the political news of the day.NR Daily is delivered right to you every afternoon. No charge.Warren touted herself as the “I have a plan for that” candidate, which invited scrutiny of her plans, and she took a lot of fire for her plan to finance Medicare for All — so much fire that she If you believe that the media, big progressive organizations, and the professional white-collar coastal elites are the most important demographics in the Democratic-presidential nominating process, then Warren ran a near-perfect campaign for much of 2019. (It is more accurate to say those groups are among the most important factions but not Let’s give Warren credit where it is due: Most candidates never come anywhere near frontrunner status, and in October, And soon, Warren may join the list.If you’re a conservative, one of the great delights of the 2020 presidential campaign cycle has been watching one Democrat that the media adores after another fall flat on his face. Everybody looks good in a blue state or district, with a mostly friendly national media parachuting in and swooning over their inspiring rhetoric. Even a modestly successful “beating expectations” presidential campaign is really difficult. We’ve seen Kirstin Gillibrand flop, Beto O’Rourke look buffoonish, Julian Castro get ignored, Cory Booker fail to launch, Kamala Harris rise quickly and sink even quicker . . . .<a href=""https://htv-prod-media.s3.amazonaws.com/files/supertuesdaymatoplines-1582851435.pdf"" rel=""noopener noreferrer"" target=""_blank"">Separately, the UMass poll also puts Sanders ahead of Warren in her home state, 25 percent to 23 percent.</a>The Sanders campaign must be drooling at the prospect of that outcome — 91 delegates and Sanders would get the vast majority, with Buttigieg, Bloomberg, and Biden below the 15 percent threshold to win delegates. (Some will be allocated by who wins each congressional district, so the under-15 candidates could get one here and there.)The poll shows Sanders is the choice of 25 percent of likely Democratic-primary voters, while Warren is in second place with 17 percent. The former mayors, Pete Buttigieg and Michael Bloomberg, are in a virtual tie for third at 14 percent and 13 percent, respectively. Former vice president Joe Biden rounds out the top five at 9 percent.Is it too harsh to say that this has become Elizabeth Warren’s campaign trail . . . of tears? <strong>The End of Elizabeth Warren’s Campaign Is Near</strong>On the menu today: The end is in sight for Elizabeth Warren’s campaign, David Brooks desperately tries to wave Democrats away from a critical error, and the mainstream media finally finds the coronavirus scary in a particular context.National ReviewFollow Us",0,The End of Elizabeth Warren?
"
						© 2020 National Review					
						Newsletters					
					© 2020 National Review				Get breaking news, with NR's unfiltered reporting, delivered straight to your inbox<a href=""https://www.nationalreview.com/tips/""><em>Send a tip to the news team at </em>NR.</a>Heo Ran/ReutersSouth Korean soldiers in protective gears sanitize shacks at Guryong village in Seoul, South Korea, March 3, 2020.   AdvertisementWhile South Korea and Italy have moved to enact quarantine measures, Iranian parliament members have Outside of China, the countries most affected by the illness are South Korea, Iran and Italy.Coronavirus cases have cropped up in several other states including California, New York, Georgia and Florida.“We’re not looking at that at all. There’s only one hotspot [in King County],” Trump President Trump on Tuesday said that while the U.S. was mulling further restrictions on foreign travel, no restrictions on domestic travel were being weighed.Meanwhile, Harborview Medical Center in Seattle released a statement on Tuesday The WHO’s announcement came as Washington State officials confirmed a total of nine deaths in the state caused by coronavirus. That outbreak is centered in Seattle suburb of Kirkland in King County, where authorities were investigating the possibility of an outbreak at a local nursing home.The mortality rate of the coronavirus was previously thought to be around two percent. The illness has a much stronger chance of causing death in sick and elderly patients (around 14 percent), while among children and healthy adults the mortality rate is close to zero.The World Health Organization on Tuesday announced that 3.4 percent of COVID-19 patients worldwide have died from the illness.National ReviewFollow Us",0,WHO Announces Coronavirus Mortality Rate Has Jumped to 3.4 Percent
"
						© 2020 National Review					
						Newsletters					
					© 2020 National Review				Get breaking news, with NR's unfiltered reporting, delivered straight to your inbox<a href=""https://www.nationalreview.com/tips/""><em>Send a tip to the news team at </em>NR.</a>China has over 80,000 confirmed cases of the illness with almost 3,000 deaths. Beijing has faced withering China has been struggling to contain the fallout from the outbreak of COVID-19, which originated in the city of Wuhan. The government has recently attempted to take control of the public narrative by “According to our analysis, the situation of coronavirus around the world is urgent, therefore, we consider that perhaps the world needs a leadership country/organization coordinating all the countries affected in fighting against coronavirus, just like the leadership role of U.S. in W.H.O.,” the employee An employee of the think tank, CNPC Economics & Technology Research Institute, wrote that the institution was considering the establishment of a China-based health organization comparable to the WHO. The employee then asked members of the Sino-Israel Global Network & Academic Leadership, an Israeli non-profit A state-sponsored Chinese think tank is evaluating international opinion on the formation of the country’s own alternative to the World Health Organization (WHO), in response to the public relations disaster caused by the Wuhan coronavirus outbreak.National ReviewFollow Us",0,Beijing Weighs Chinese Alternative to WHO in Response to Coronavirus Public Relations Disaster
"
						© 2020 National Review					
						Newsletters					
					© 2020 National Review				Get our conservative analysis delivered right to you. No charge.I know, I know, National ReviewFollow Us",0,The COVID-19 Boom
